clFile,indexNum,actorID,tag,actorMappingTag,name,tlkStringID
mag121_idunna6084218,Awakened,Awakened,cam_6_follower1_cu,cam_6_follower1_cu,cam_6_follower1_cu,6084218
mag121_idunna6084218,Hench,Hench,gen00fl_isabela,gen00fl_isabela,gen00fl_isabela,6084218
mag121_idunna6084189,Awakened,Awakened,cam_3_player_cu,cam_3_player_cu,cam_3_player_cu,6084189
mag121_idunna6084189,6,8,3_player,PLAYER,PLAYER_male,6084189
mag121_idunna6084189,7,11,,PLAYER,PLAYER_female,6084189
dae000_fenarel6133312,1,2,speaker,dae000cr_ineria,dae000cr_ineria,6133312
mag311_keran6054237,Awakened,Awakened,keran,keran,keran,6054237
mag311_keran6054237,Awakened,Awakened,player,player,player,4288913058
mag311_keran6054237,6,9,keran,mag311cr_keran,mag311cr_keran,6054237
vrc221_bartrand6043275,Awakened,Awakened,Unknown,Unknown,Unknown,6043275
vrc221_bartrand6043275,5,7,varric2,gen00fl_varric,gen00fl_varric,6043275
gen00fl_isabela6109792,Awakened,Awakened,d_actor3_merrill,d_actor3_merrill,d_actor3_merrill,6109792
gen00fl_isabela6109792,8,10,d_actor3_merrill,gen00fl_merrill,gen00fl_merrill,6109792
and111_lirene6097116,1,2,speaker,and111cr_lirene,and111cr_lirene,6097116
gen00fl_aveline6140777,Awakened,Awakened,speaker,speaker,speaker,6140777
gen00fl_aveline6140777,2,4,speaker,gen00fl_aveline,gen00fl_aveline,6140777
lgt220_shp_mag_guard6149505,Awakened,Awakened,Unknown,Unknown,Unknown,6149505
lgt220_shp_mag_guard6149505,6,8,actor1,PLAYER,PLAYER,6149505
mcr371_scared_mage_m6086912,1,2,speaker,OWNER,mcr310cr_circle_mage,6086912
gen00fl_anders6119526,Awakened,Awakened,anders,anders,anders,6119526
gen00fl_anders6119526,5,7,anders,gen00fl_anders,gen00fl_anders,6119526
mag110_samson6018596,Awakened,Awakened,Unknown,Unknown,Unknown,6018596
mag110_samson6018596,6,8,actor1,PLAYER,PLAYER,6018596
dae000_meredith6092554,Awakened,Awakened,meredith_intro2,meredith_intro2,meredith_intro2,6092554
dae000_meredith6092554,2,4,meredith_intro2,OWNER,dae300cr_meredith,6092554
ave100_donnic6057739,1,2,speaker,gen00fl_aveline,gen00fl_aveline,6057739
gen00fl_isabela6085679,Awakened,Awakened,c_actor2_isabela,c_actor2_isabela,c_actor2_isabela,6085679
gen00fl_isabela6085679,7,9,c_actor2_isabela,gen00fl_isabela,gen00fl_isabela,6085679
gen00fl_anders6125155,Awakened,Awakened,Unknown,Unknown,Unknown,6125155
gen00fl_anders6125155,6,8,player,PLAYER,PLAYER,6125155
zz_mag_debug6102189,Awakened,Awakened,speaker,speaker,speaker,6102189
zz_mag_debug6102189,2,4,speaker,PLAYER,PLAYER,6102189
lgt110_gxa_coa_meeting6117503,1,2,speaker,lgt110cr_coa_captain_1,lgt110cr_coa_captain_1,6117503
mag110_arianni6049707,1,2,speaker,mag110cr_arianni,mag110cr_arianni,6049707
zz_mcr_debug6080824,Awakened,Awakened,speaker,speaker,speaker,6080824
zz_mcr_debug6080824,2,4,speaker,PLAYER,PLAYER,6080824
dae000_gamlen6005764,Awakened,Awakened,cam_mom_gam_ots,cam_mom_gam_ots,cam_mom_gam_ots,6005764
dae000_gamlen6005764,2,4,mother,dae000cr_mother,dae000cr_mother,6005764
dre000_varric6034642,Awakened,Awakened,gen00fl_isabela,gen00fl_isabela,gen00fl_isabela,6034642
dre000_varric6034642,Hench,Hench,gen00fl_isabela,gen00fl_isabela,gen00fl_isabela,6034642
gen00fl_merrill6119636,Awakened,Awakened,cam_mrl_cu,cam_mrl_cu,cam_mrl_cu,6119636
gen00fl_merrill6119636,2,4,mrl_closetoplayer,gen00fl_merrill,gen00fl_merrill,6119636
mag100_thrask6031985,Awakened,Awakened,Unknown,Unknown,Unknown,6031985
mag100_thrask6031985,6,8,player,PLAYER,PLAYER,6031985
zz_mcr_debug6088339,Awakened,Awakened,speaker,speaker,speaker,6088339
zz_mcr_debug6088339,2,4,speaker,PLAYER,PLAYER,6088339
gen00fl_anders6096475,Awakened,Awakened,anders,anders,anders,6096475
gen00fl_anders6096475,5,7,anders,gen00fl_anders,gen00fl_anders,6096475
gen00fl_anders6119466,Awakened,Awakened,anders_post_kiss,anders_post_kiss,anders_post_kiss,6119466
gen00fl_anders6119466,5,7,anders_post_kiss,gen00fl_anders,gen00fl_anders,6119466
qun160_vashothlead6055579,1,2,speaker,gen00fl_isabela,gen00fl_isabela,6055579
gen00fl_varric6102756,Awakened,Awakened,varricb,varricb,varricb,6102756
gen00fl_varric6102756,Awakened,Awakened,playerb,playerb,playerb,4288864539
gen00fl_varric6102756,3,6,varricb,gen00fl_varric,gen00fl_varric,6102756
zz_dae_debug6050743,Awakened,Awakened,speaker,speaker,speaker,6050743
zz_dae_debug6050743,2,4,speaker,PLAYER,PLAYER,6050743
follower_banter6165597,1,2,speaker,gen00fl_anders,gen00fl_anders,6165597
pro000_soldier_leader6040812,1,2,speaker,pro000cr_soldier_leader,pro000cr_soldier_leader,6040812
lgt210_magu_selby6142065,1,2,speaker,lgt210cr_magu_selby,lgt210cr_magu_selby,6142065
qun110_petrice6042299,Awakened,Awakened,petrice,petrice,petrice,6042299
qun110_petrice6042299,6,8,petrice,qun110cr_petrice,qun110cr_petrice,6042299
zz_qcr_debug6045149,Awakened,Awakened,speaker,speaker,speaker,6045149
zz_qcr_debug6045149,2,4,speaker,PLAYER,PLAYER,6045149
ser121_jethann6175922,Awakened,Awakened,gen00fl_isabela,gen00fl_isabela,gen00fl_isabela,6175922
ser121_jethann6175922,Awakened,Awakened,cam_romance,cam_romance,cam_romance,4288791373
ser121_jethann6175922,Hench,Hench,gen00fl_isabela,gen00fl_isabela,gen00fl_isabela,6175922
mer141_jansen6077787,Awakened,Awakened,follower_stepup,follower_stepup,follower_stepup,6077787
mer141_jansen6077787,5,7,follower_stepup,gen00fl_anders,gen00fl_anders,6077787
zz_followers_banter6158430,1,2,speaker,gen00fl_carver,gen00fl_carver,6158430
mer320_hubert6090237,Awakened,Awakened,actor2,actor2,actor2,6090237
mer320_hubert6090237,Awakened,Awakened,actor1,actor1,actor1,4288877058
mer320_hubert6090237,6,9,actor2,mer320cr_hubert,mer320cr_hubert,6090237
gen00fl_sebastian6188665,Awakened,Awakened,player,player,player,6188665
gen00fl_sebastian6188665,3,5,player,PLAYER,PLAYER,6188665
zz_one_debug6113373,Awakened,Awakened,speaker,speaker,speaker,6113373
zz_one_debug6113373,2,4,speaker,PLAYER,PLAYER,6113373
ser221_gamlen6134826,Awakened,Awakened,Unknown,Unknown,Unknown,6134815
ser221_gamlen6134826,Awakened,Awakened,Unknown,Unknown,Unknown,6134815
ser221_gamlen6134826,3,4,,gen00fl_isabela,gen00fl_isabela,6134994
ser221_gamlen6134826,4,5,,PLAYER,PLAYER,6134826
follower_banter6169803,1,2,speaker,gen00fl_merrill,gen00fl_merrill,6169803
rdr110dg_guard_warehouse6016731,Awakened,Awakened,guard,guard,guard,6016731
rdr110dg_guard_warehouse6016731,Awakened,Awakened,cam1_2_2,cam1_2_2,cam1_2_2,4288950564
rdr110dg_guard_warehouse6016731,Awakened,Awakened,player,player,player,4288950564
rdr110dg_guard_warehouse6016731,8,12,guard,rdr110cr_guard_warehouse,rdr110cr_guard_warehouse,6016731
mcr310_argument6074372,Awakened,Awakened,anders,anders,anders,6074372
mcr310_argument6074372,7,9,anders,gen00fl_anders,gen00fl_anders,6074372
mag121_idunna6084249,Awakened,Awakened,cam_2_followers,cam_2_followers,cam_2_followers,6084249
mag121_idunna6084249,Hench,Hench,gen00fl_anders,gen00fl_anders,gen00fl_anders,6084249
clf260_harley6089565,Awakened,Awakened,Unknown,Unknown,Unknown,1
clf260_harley6089565,14,16,player2,PLAYER,PLAYER,6089565
gen00fl_anders6111169,Awakened,Awakened,anders,anders,anders,6111169
gen00fl_anders6111169,6,8,anders,gen00fl_anders,gen00fl_anders,6111169
gen00fl_merrill6162251,Awakened,Awakened,merrill,merrill,merrill,6162251
gen00fl_merrill6162251,2,4,merrill,gen00fl_merrill,gen00fl_merrill,6162251
zz_one_debug6051526,Awakened,Awakened,speaker,speaker,speaker,6051526
zz_one_debug6051526,2,4,speaker,PLAYER,PLAYER,6051526
dre000_varric6036955,Awakened,Awakened,Unknown,Unknown,Unknown,6036955
dre000_varric6036955,6,8,player,PLAYER,PLAYER,6036955
gen00fl_sebastian6195885,Awakened,Awakened,actor2,actor2,actor2,6195885
gen00fl_sebastian6195885,2,4,actor2,gen00fl_sebastian,gen00fl_sebastian,6195885
zz_lgt_1_debug6148335,Awakened,Awakened,speaker,speaker,speaker,6148335
zz_lgt_1_debug6148335,2,4,speaker,PLAYER,PLAYER,6148335
dae000_gen_turn_in_16198705,1,2,speaker,PLAYER,PLAYER,6198705
follower_banter6141861,1,2,speaker,gen00fl_fenris,gen00fl_fenris,6141861
dae000_bartrand6107537,Awakened,Awakened,carver_last,carver_last,carver_last,6107537
dae000_bartrand6107537,4,6,carver_last,gen00fl_carver,gen00fl_carver,6107537
one100_solivitus6060372,1,2,speaker,dae100cr_solivitus,dae100cr_solivitus,6060372
follower_banter6173192,1,2,speaker,gen00fl_sebastian,gen00fl_sebastian,6173192
ave310_brennan6136888,Awakened,Awakened,aveline,aveline,aveline,6136888
ave310_brennan6136888,5,7,aveline,gen00fl_aveline,gen00fl_aveline,6136888
one300_murder_followers6086898,1,2,speaker,gen00fl_varric,gen00fl_varric,6086898
dae000_gamlen6145125,Awakened,Awakened,actor2,actor2,actor2,6145125
dae000_gamlen6145125,2,4,actor2,dae300cr_gamlen,dae300cr_gamlen,6145125
dre000_hireling16038612,1,2,speaker,dre100cr_hireling_2,dre100cr_hireling_2,6038612
one110_pryce6088409,Awakened,Awakened,pryce,pryce,pryce,6088409
one110_pryce6088409,Awakened,Awakened,Unknown,Unknown,Unknown,4288878886
one110_pryce6088409,6,9,pryce,one110cr_pryce,one110cr_pryce,6088409
one110_pryce6088409,6,9,pryce,one110cr_pryce,one110cr_pryce,6088417
gen00fl_aveline6121910,Awakened,Awakened,actor1,actor1,actor1,6121910
gen00fl_aveline6121910,2,4,actor1,gen00fl_aveline,gen00fl_aveline,6121910
gen00fl_anders6045368,1,2,speaker,gen00fl_anders,gen00fl_anders,6045368
hightown_male_noble1_sta6170803,1,2,speaker,dae020cr_hm_noble1,dae020cr_hm_noble1,6170803
dae000_arishok6096335,1,2,speaker,dae000cr_arishok,dae000cr_arishok,6096335
and110_refugee6111614,Awakened,Awakened,cam1_2_3,cam1_2_3,cam1_2_3,6111614
and110_refugee6111614,2,4,actor2_refugee,and110cr_angry_refugee,and110cr_angry_refugee,6111614
mcr310_loyalist_templars6076909,Awakened,Awakened,cam1_2_2,cam1_2_2,cam1_2_2,6076909
mcr310_loyalist_templars6076909,6,8,actor1,PLAYER,PLAYER,6076909
mag110_samson6018716,Awakened,Awakened,Unknown,Unknown,Unknown,6018716
mag110_samson6018716,Awakened,Awakened,actor1,actor1,actor1,4288948579
mag110_samson6018716,7,10,actor1,PLAYER,PLAYER,6018716
zz_and_debug6178579,Awakened,Awakened,speaker,speaker,speaker,6178579
zz_and_debug6178579,2,4,speaker,PLAYER,PLAYER,6178579
sib100_father_contact6110075,Awakened,Awakened,player,player,player,6110075
sib100_father_contact6110075,5,7,player,PLAYER,PLAYER,6110075
dae000_orana6149097,Awakened,Awakened,camf1_1_2,camf1_1_2,camf1_1_2,6149097
dae000_orana6149097,3,5,player,PLAYER,PLAYER,6149097
ave200_party_comment6116362,Awakened,Awakened,speaker,speaker,speaker,6116362
ave200_party_comment6116362,2,4,speaker,gen00fl_isabela,gen00fl_isabela,6116362
docks_male_human_worker_sta6175998,1,2,speaker,dae010cr_worker_m,dae010cr_worker_m,6175998
gen00fl_varric6078128,Awakened,Awakened,Unknown,Unknown,Unknown,6078128
gen00fl_varric6078128,3,5,player,PLAYER,PLAYER,6078128
follower_banter6141622,1,2,speaker,gen00fl_fenris,gen00fl_fenris,6141622
gen00fl_sebastian6179790,Awakened,Awakened,sebastian,sebastian,sebastian,6179790
gen00fl_sebastian6179790,5,7,sebastian,gen00fl_sebastian,gen00fl_sebastian,6179790
one100_party_comments6106775,1,2,speaker,gen00fl_fenris,gen00fl_fenris,6106775
gen00fl_merrill6162080,Awakened,Awakened,cam_pc_mrl_mw,cam_pc_mrl_mw,cam_pc_mrl_mw,6162080
gen00fl_merrill6162080,3,5,place2,PLAYER,PLAYER,6162080
mcr370_negotiation6080176,Awakened,Awakened,pc_hostile_aveline_cu,pc_hostile_aveline_cu,pc_hostile_aveline_cu,6080176
mcr370_negotiation6080176,19,21,player,PLAYER,PLAYER,6080176
vrc221_varric6044070,Awakened,Awakened,varric2,varric2,varric2,6044070
vrc221_varric6044070,Awakened,Awakened,varric2,varric2,varric2,4288923225
vrc221_varric6044070,6,9,varric2,gen00fl_varric,gen00fl_varric,6044070
dae011_badpoet_sta6147006,1,2,badpoet,isa200cr_badpoet,isa200cr_badpoet,6147006
hightown_fem_noble2_mob6169484,1,2,speaker,dae020cr_hf_noble2,dae020cr_hf_noble2,6169484
