"trope","word","loglikelihood","totalTropeDialogue"
"All-Powerful Bystander","PROPN",101.556402110755,37
"Barefisted Monk","PROPN",91.9861507572757,44
"You Are Not Ready","PROPN",89.9785650837121,54
"Summon Bigger Fish","PROPN",87.7735742585093,107
"The Dividual","PROPN",72.7559190988762,68
"Badass Longrobe","PROPN",69.6841436032562,72
"Power Echoes","PROPN",69.4702555547687,67
"Fantasy Counterpart Culture","PROPN",65.4295748260821,78
"My Master, Right or Wrong","PROPN",63.1610311929936,153
"Technical Pacifist","PROPN",60.320113574292,86
"Super-Scream","PROPN",58.3123559876785,102
"Mundane Utility","PROPN",58.3123559876785,102
"Evil Redhead","ha",57.9029456842833,151
"Wizard Beard","PROPN",56.4052611550187,126
"A Pupil of Mine Until He Turned to Evil","PROPN",55.522833862867,121
"Elemental Powers","PROPN",49.7893906322747,127
"Coffin Contraband","ha",48.0690051697834,94
"Creepy High-Pitched Voice","ha",48.0690051697834,94
"Giggling Villain","ha",48.0690051697834,94
"Happy Dance","ha",48.0690051697834,94
"Happy Harlequin Hat","ha",48.0690051697834,94
"In-Universe Nickname","ha",48.0690051697834,94
"Monster Clown","ha",48.0690051697834,94
"Psycho Knife Nut","ha",48.0690051697834,94
"Random Event","ha",48.0690051697834,94
"Sycophantic Servant","ha",48.0690051697834,94
"The Mentor","PROPN",45.2900049520971,428
"Wounded Gazelle Gambit","ha",44.9280398000757,118
"Old Master","PROPN",44.5745791338209,197
"Yandere","ha",44.4684122625237,122
"Handicapped Badass","PROPN",44.3364492538597,373
"You Fool!","ha",42.8715334278586,137
"Outside-Context Problem","PROPN",42.3439297077751,21
"Alternate Self","X.",42.2138074571752,345
"Married to the Job","ha",41.9029171245289,147
"Really 700 Years Old","PROPN",41.6274887000816,190
"Fat Idiot","hey",40.9078418432842,4
"Cloud Cuckoolander","ha",40.400946296295,164
"Third-Person Person","ha",39.5900103779588,174
"Jump Scare","reunion",39.398023693967,2
"Manly Facial Hair","PROPN",39.3972152153215,280
"Green-Eyed Monster","ha",39.1260138598477,180
"Right for the Wrong Reasons","ha",38.1021883815674,194
"Cool and Unusual Punishment","uplander",37.3084601259297,48
"Unwanted Assistance","uplander",37.3084601259297,48
"Crouching Moron, Hidden Badass","ha",35.6651791183681,232
"The Friend Nobody Likes","ha",35.3183398118307,238
"Troll","ha",35.0361249400514,243
"Alternate Self","o",34.7169487325685,345
"Metaphorically True","ha",34.0675817182873,261
"Flying Seafood Special","X..1",34.0313379998512,64
"Did You Just Punch Out Cthulhu?","uplander",32.337961536135,110
"Stupid Evil","hey",32.2340705095912,17
"Suspiciously Similar Substitute","ha",31.5732504847981,314
"Beware the Silly Ones","ha",31.3609346268671,319
"The Informant","yes",30.7848140112969,38
"Karma Houdini","ha",30.7844176418068,333
"Token Non-Human","uplander",30.7665321009093,143
"Harmless Villain","hey",30.6900738375723,22
"Baby Don't Got Back","mammet",30.5219110501288,126
"Comically Missing the Point","mammet",30.1982092942227,133
"A-Cup Angst","mammet",30.1533654894947,134
"Pragmatic Villainy","ha",30.0032934333746,353
"Sanity Slippage","ha",29.593181475933,364
"The Creon","convince",29.4384291470015,151
"False Flag Operation","our",29.2561956413841,493
"Big ""WHAT?!""","armor",29.0102724898623,43
"Ground Pound","armor",29.0102724898623,43
"His Name Is...","armor",29.0102724898623,43
"Immortal Ruler","armor",29.0102724898623,43
"Chekhov's Gunman","ha",28.9145106770492,383
"Girlish Pigtails","mammet",28.8357490175947,167
"Better to Die than Be Killed","armor",28.2289562250596,49
"Sinister Minister","armor",28.108140790009,50
"Canon Foreigner","reunion",27.9503222995024,35
"Damage-Sponge Boss","armor",27.8736181321452,52
"Nothing Personal","ancestor",27.4393226565047,60
"No Man of Woman Born","councilor",27.358802000631,57
"Rose-Haired Sweetie","sky",27.3279018914117,94
"This Looks Like a Job for Aquaman","hey",27.2650841358333,39
"A Sinister Clue","can",27.228837329868,130
"All There in the Manual","ha",27.1636247218208,437
"The Medic","chieftain",27.1326551958782,407
"Oddly Small Organization","crime",26.8108175910229,25
"Oddly Small Organization","lookout",26.8108175910229,25
"Baby Don't Got Back","heart",26.6503184731065,126
"Genki Girl","mammet",26.5929618978114,243
"Obviously Evil","ha",26.4576498851,461
"Evil All Along","armor",26.358937027453,67
"Comically Missing the Point","heart",26.2236271339072,133
"Con Man","yes",26.1790422266797,68
"A-Cup Angst","heart",26.1645369737982,134
"The Bad Guy Wins","our",26.113586213751,568
"Body Double","our",26.0278764322404,390
"Shoot the Medic First","our",25.929742487996,392
"Doesn't Trust Those Guys","check",25.9079351770852,11
"The Informant","intend",25.8062094864525,38
"Can't Hold His Liquor","X.",25.7980526526652,94
"Genius Ditz","mammet",25.7891130140949,278
"Reluctant Mad Scientist","swell",25.5814799718464,34
"The Teetotaler","X.",25.5504811469776,97
"Take a Third Option","convince",25.5162035745914,291
"Free-Range Children","sing",25.5024328575819,41
"Blinded by the Light","our",25.4475495693411,402
"Disney Death","hey",25.3166538824187,210
"Break Her Heart to Save Her","she",25.288735816502,29
"The Outside World","she",25.288735816502,29
"Children Are Innocent","sing",25.2201295891617,44
"First Church of Mecha","release",25.149342094505,4
"Humans Are Morons","release",25.149342094505,4
"Human Sacrifice","release",25.149342094505,4
"Kill Steal","release",25.149342094505,4
"Ominous Latin Chanting","release",25.149342094505,4
"Ominous Owl","release",25.149342094505,4
"Spell My Name With An S","release",25.149342094505,4
"The Caretaker","swell",25.1368446272685,38
"Ambiguous Gender","uplander",25.1139009479091,368
"Record Producer","yup",24.9206702677247,58
"Heroes Prefer Swords","uplander",24.8754423070686,383
"Cool and Unusual Punishment","goodly",24.8723067506198,48
"Cool and Unusual Punishment","gobbietreat",24.8723067506198,48
"Unwanted Assistance","goodly",24.8723067506198,48
"Unwanted Assistance","gobbietreat",24.8723067506198,48
"Huge Guy, Tiny Girl","sky",24.771065815741,130
"Fire, Ice, Lightning","hey",24.59431506864,61
"Large Ham","ha",24.5046494606402,535
"Girlish Pigtails","heart",24.4308682315305,167
"Bounty Hunter","convince",24.2796639502608,358
"Infinite Supplies","X.",24.1432492481366,116
"New Tech Is Not Cheap","X.",24.1432492481366,116
"Nouveau Riche","X.",24.1432492481366,116
"Unlimited Wardrobe","X.",24.1432492481366,116
"Series Mascot","hair",24.0485977838815,8
"Breaking the Fourth Wall","hair",24.0485977838815,8
"Friend-or-Idol Decision","hair",24.0485977838815,8
"Geo Effects","hair",24.0485977838815,8
"Killer Rabbit","hair",24.0485977838815,8
"The Power of Rock","hair",24.0485977838815,8
"Uplifted Animal","hair",24.0485977838815,8
"You Can Talk?","hair",24.0485977838815,8
"Reasonable Authority Figure","he",24.0152345346463,1651
"I Just Want to Have Friends","crime",23.960755142376,51
"I Just Want to Have Friends","lookout",23.960755142376,51
"We Help the Helpless","crime",23.960755142376,51
"We Help the Helpless","lookout",23.960755142376,51
"Ax-Crazy","ha",23.9561303450295,558
"Heroes Prefer Swords","convince",23.8771592291157,383
"I Let You Win","X.",23.8119102535632,121
"Body Double","abandon",23.7691908035012,390
"Shoot the Medic First","abandon",23.7387007945994,392
"Good Is Not Nice","southwest",23.6862264822767,241
"Good Is Not Nice","foothill",23.6862264822767,241
"Good Is Not Nice","south",23.6862264822767,241
"Even Evil Has Standards","ha",23.6340288977948,572
"Blinded by the Light","abandon",23.5885622938883,402
"Con Man","intend",23.4801933578179,68
